Player,Team,Position,ruATT,ruYDS,ruTDS,reREC,reYDS,reTDS,paATT,paCMP,paYDS,paTDS,INTS
Ja'Marr Chase,CIN,WR,1.6,11.5,0.0,119.4,1543.1,12.0,0.0,0.0,0.0,0.0,0.0
Bijan Robinson,ATL,RB,299.5,1399.2,11.3,55.2,418.0,2.2,0.0,0.0,0.0,0.0,0.0
Jahmyr Gibbs,DET,RB,239.7,1244.7,11.7,54.9,487.8,2.7,0.0,0.0,0.0,0.0,0.0
Saquon Barkley,PHI,RB,321.2,1631.0,10.7,37.1,284.0,2.0,0.0,0.0,0.0,0.0,0.0
Justin Jefferson,MIN,WR,0.5,3.6,0.0,103.3,1436.9,9.0,0.0,0.0,0.0,0.0,0.0
CeeDee Lamb,DAL,WR,9.2,59.3,0.3,109.8,1327.6,7.6,0.0,0.0,0.0,0.0,0.0
Christian McCaffrey,SF,RB,243.4,1101.1,8.0,63.7,553.5,3.4,0.0,0.0,0.0,0.0,0.0
Puka Nacua,LAR,WR,10.7,61.5,0.6,104.0,1358.2,6.5,0.0,0.0,0.0,0.0,0.0
Amon-Ra St. Brown,DET,WR,1.9,12.6,0.1,109.1,1249.2,8.9,0.0,0.0,0.0,0.0,0.0
De'Von Achane,MIA,RB,214.2,998.7,7.3,68.2,507.3,4.0,0.0,0.0,0.0,0.0,0.0
Malik Nabers,NYG,WR,2.6,11.6,0.0,104.1,1271.6,7.7,0.0,0.0,0.0,0.0,0.0
Derrick Henry,BAL,RB,306.1,1554.4,13.7,16.4,154.4,0.9,0.0,0.0,0.0,0.0,0.0
Josh Jacobs,GB,RB,296.8,1251.4,11.5,38.3,318.4,1.5,0.0,0.0,0.0,0.0,0.0
Brian Thomas Jr.,JAC,WR,3.8,25.3,0.0,90.6,1267.4,8.3,0.0,0.0,0.0,0.0,0.0
Nico Collins,HOU,WR,0.0,1.4,0.0,89.4,1281.1,8.5,0.0,0.0,0.0,0.0,0.0
Ladd McConkey,LAC,WR,0.0,1.4,0.0,93.6,1248.2,7.6,0.0,0.0,0.0,0.0,0.0
